CU	Tomato EST	A.t. Best	A.t.	        EST
ID#	Sequence #	BAC match	position	stock #
T0005	TOVAD39TH	AB006700.2	5.0110000	cLED1H6
T0021	TOVAH59TH	AC007729.2	2.0460000	cLED2J22
T0028	TOVAP16TH	AC006420.3	2.0360000	cLED4D8
T0034	TOVAS39TH	AB019228.1	5.2470000	cLED5H5
T0035	TOVAS54TH	AF069716.1	5.0510000	cLED5J11
T0039	TOVAY16TH	AC007729.2	2.0460000	cLED7C7
T0040	TOVAY55TH	AC000103.2	1.0560000	cLED7I13
T0055	TOVBR32TH	AC005824.2	2.1570000	cLED11F16
T0058	TOVCA78TH	AC003027.1	1.0070000	cLED14M11
T0067	TOVCP78TH	AC003114.1	1.0240000	cLED17N12
T0086	TOVDP80TH	AF075598.1	4.0260000	cLED24M16
T0094	TSHAB35TH	AC007168.4	2.1270000	cLEB1E22
T0114	TPSAR65TH	AB026648.1	3.0850000	cLES5K10
T0117	TOVBX28TH	AC007729.2	2.0460000	cLED13E8
T0118	TPRAB09TH	AB006700.2	5.0110000	cLER1A18
T0122	TOVAO05TH	U95973.1	1.0330000	cLED4B9
T0123	TPRAA15TV	U93215.2	2.1730000	cLER1C5
T0128	TOVAU15TH	AC009398.6	1.0310000	cLED6C5
T0133	TPRAF23TH	AB005232.1	5.2230000	cLER2C22
T0140	TOVBB20TH	AB005243.1	5.0350000	cLED7D16
T0141	TPSAP30TH	AB005245.2	5.0050000	cLES4F12
T0142	TSHAL21TH	AB005246.1	5.2600000	cLEB3D18
T0147	TPSAP90TH	AL392174.1	5.0149000	cLES4P12
T0155	TSHAL02TV	AC011808.4	1.0441000	cLEB3B4
T0156	TOVAZ36TH	AC002376.1	1.0100000	cLED7E24
T0161	TOVCI86TH	AC002411.1	1.0080000	cLED16O3
T0162	TOVAM75TH	AC002131.1	1.0370000	cLED4M5
T0173	TPSAJ05THB	AC002510.2	2.2260000	cLES3A10
T0180	TPRAA43TH	AB010074.2	5.2000000	cLER1G13
T0181	TOVAP21TH	AC002130.2	1.1300000	cLED4D18
T0182	TOVDS41TH	AF069442.1	4.0180000	cLED25G9
T0187	TSHAD25TH	AB010698.1	5.1610000	cLEB1F2
T0189	TPSAJ69TH	AL021687.1	4.1000000	cLES3K18
T0196	TOVAF14TH	AL021811.1	4.1640000	cLED2C4
T0200	TPSAP79TH	AL035522.1	4.1790000	cLES4N14
T0201	TSHAB07TH	AL035522.1	4.1790000	cLEB1A14
T0208	TSHAG09TH	AC002329.2	2.1010000	cLEB2B17
T0213	TSHAI69TH	AB025638.1	5.1400000	cLEB3K17
T0214	TSHAK67TH	AL353994.1	5.0159000	cLEB3L13
T0217	TSHAK96TH	AC007119.5	2.1240000	cLEB3P23
T0234	TSHBF84TH	AB012246.1	5.0290000	cLEB8N24
T0244	TOVAK69TH	AB012239.1	5.2660000	cLED3L17
T0245	TOVAL91TH	AL049607.1	4.1620000	cLED3P14
T0246	TOVAM10TH	AC002388.2	2.2410000	cLED4A19
T0250	TOVAS67TH	AC005169.2	2.1150000	cLED5L13
T0256	TOVAZ40TH	AB011482.1	5.2420000	cLED7G8
T0266	TOVBN23TH	AL022603.1	4.1110000	cLED10D22
T0270	TOVBP41TH	AL096860.1	3.1100000	cLED11G10
T0275	TOVBZ60TH	AC009243.3	1.1490000	cLED13J24
T0276	TOVCE01THB	AF058914.1	5.0600000	cLED15A1
T0283	TOVCN46TH	AC002329.2	2.1010000	cLED17G20
T0291	TOVCX95TH	AL022604.1	4.1800000	cLED19P22
T0292	TOVCW86TH	AL078637.1	4.1240000	cLED19P3
T0298	TOVDK22TH	AF058826.1	5.0760000	cLED23C19
T0299	TOVDN13TH	AB012242.1	5.1780000	cLED23D2
T0302	TOVDQ59TH	AC005405.1	5.0560000	cLED24J21
T0303	TOVDR80TH	AC005168.2	2.1510000	cLED24N16
